TYPE;NUM;PARENT_CODE;NAME;MEASURE_UNIT;UNIT_WEIGHT;ENERGY;FIBER;FAT;CARBOHYDRATE;PRICE;CATEGORY;QUICK_CODE;EXTERNAL_ID;COOKING_PLACE_TYPE;INCLUDED_IN_MENU
DISH;489;23;Классический  Лимонад Стандарт;порц;2,245;0;0;0;0;190;;553;;Основное место приготовления;0
DISH;488;23;Лимонад Шампань стандарт;порц;2,262;0;0;0;0;190;;552;;Основное место приготовления;1
DISH;487;23;Лимонад РОЗЕ стандарт;порц;2,262;0;0;0;0;190;;551;;Основное место приготовления;1
DISH;484;23;Кумкватовый Лимонад Стандарт;порц;2,241;0;0;0;0;200;;548;;Основное место приготовления;1
DISH;526;23;Лимонад  Кумкват Апельсин стандарт;порц;2,262;0;0;0;0;270;;591;;Основное место приготовления;1
DISH;525;23;Лимонад Кумкват- Клубника стандарт;порц;2,262;0;0;0;0;270;;590;;Основное место приготовления;1
DISH;486;23;Черничный Лимонад Стандарт;порц;2,241;0;0;0;0;270;;550;;Основное место приготовления;1
DISH;521;23;Шипучка лимонад стандарт;порц;3,19;0;0;0;0;190;;586;;Основное место приготовления;0
DISH;283;40;Шипучка (лимонад) Париж стандарт;порц;3,19;0;0;0;0;190;;325;;Основное место приготовления;0
DISH;485;23;Персиковый Лимонад Стандарт;порц;2,241;0;0;0;0;200;;549;;Основное место приготовления;1
GOODS;527;58;Сливки для вафли для взбивания;л;1;0;0;0;0;121,88;;592;;;0
GOODS;528;62;реклама;кг;1;0;0;0;0;0;;593;;;0
GOODS;529;;сироп апельсин кеди;л;0;0;0;0;0;0;;594;;;0
DISH;514;71;Киви  для вафли;порц;0,04;0;0;0;0;50;;579;;Основное место приготовления;1
DISH;512;71;Клубника  для вафли;порц;0,035;0;0;0;0;50;;577;;Основное место приготовления;1
DISH;515;71;Персик  для вафли;порц;0,03;0;0;0;0;50;;580;;Основное место приготовления;1
GOODS;532;57;фрукты клубника;кг;1;0;0;0;0;0;;597;;;0
GOODS;531;57;фрукты киви;кг;1;0;0;0;0;0;;596;;;0
GOODS;530;57;фрукты персик для вафли;кг;1;0;0;0;0;0;;595;;;0
DISH;536;72;Вкусненький Бабл Ти Стандарт;порц;2,053;0;0;0;0;290;;602;;Основное место приготовления;1
DISH;537;73;Голубое небо 700 макси;порц;3,419;0;0;0;0;350;;604;;Основное место приготовления;1
DISH;538;73;Голубое небо стандарт;порц;3,295;0;0;0;0;290;;605;;Основное место приготовления;1
DISH;133;19;Голубое молоко 700 макси;порц;3,419;0;0;0;0;350;;142;;Основное место приготовления;1
DISH;132;19;Голубое молоко стандарт;порц;3,295;0;0;0;0;290;;141;;Основное место приготовления;1
DISH;516;74;Чернично Ореховый милк шейк МАКСИ;порц;3,394;0;0;0;0;350;;581;;Основное место приготовления;1
DISH;517;74;Чернично Ореховый Милк шейк стандарт;порц;3,294;0;0;0;0;290;;582;;Основное место приготовления;1
DISH;135;20;Гагарин макси;порц;3,394;0;0;0;0;250;;145;;Основное место приготовления;1
DISH;134;20;Гагарин стандарт;порц;3,294;0;0;0;0;220;;144;;Основное место приготовления;1
DISH;483;14;KISS Me;порц;2,306;0;0;0;0;220;;546;;Основное место приготовления;1
DISH;522;75;Лимонад Свежесть  макси;порц;3,373;0;0;0;0;295;;587;;Основное место приготовления;1
DISH;523;75;Лимонад Свежесть стандарт;порц;2,297;0;0;0;0;255;;588;;Основное место приготовления;1
GOODS;54;52;"Сироп ""Манго""";л;1,3;0;0;0;0;410;;57;;;0
MODIFIER;18;9;сироп Ананас;порц;0,026;0;0;0;0;0;;18;;;0
MODIFIER;113;9;сироп Манго;порц;0,026;0;0;0;0;0;;116;;;0
MODIFIER;109;9;сироп Клубника;порц;0,026;0;0;0;0;0;;112;;;0
MODIFIER;33;9;сироп Виноград;порц;0,026;0;0;0;0;0;;36;;;0
MODIFIER;104;9;сироп Дыня;порц;0,026;0;0;0;0;0;;107;;;0
MODIFIER;106;9;сироп Зеленое яблоко;порц;0,026;0;0;0;0;0;;109;;;0
MODIFIER;32;9;сироп Апельсин;порц;0,026;0;0;0;0;0;;35;;;0
MODIFIER;110;9;сироп Кумкват;порц;0,026;0;0;0;0;0;;113;;;0
MODIFIER;108;9;сироп Киви;порц;0,026;0;0;0;0;0;;111;;;0
MODIFIER;173;30;Сироп Манго;порц;0,033;0;0;0;0;0;;194;;Основное место приготовления;0
MODIFIER;169;30;Сироп Клубника;порц;0,033;0;0;0;0;0;;190;;Основное место приготовления;0
MODIFIER;156;30;Сироп Ананас;порц;0,033;0;0;0;0;0;;177;;Основное место приготовления;0
MODIFIER;157;30;Сироп Апельсин;порц;0,033;0;0;0;0;0;;178;;Основное место приготовления;0
MODIFIER;164;30;Сироп Дыня;порц;0,033;0;0;0;0;0;;185;;Основное место приготовления;0
MODIFIER;158;30;Сироп Виноград;порц;0,033;0;0;0;0;0;;179;;Основное место приготовления;0
MODIFIER;166;30;Сироп Зеленое яблоко;порц;0,033;0;0;0;0;0;;187;;Основное место приготовления;0
MODIFIER;170;30;Сироп Кумкват;порц;0,033;0;0;0;0;0;;191;;Основное место приготовления;0
MODIFIER;168;30;Сироп Киви;порц;0,033;0;0;0;0;0;;189;;Основное место приготовления;0
DISH;261;72;Кисленький Бабл Ти стандарт;порц;2,056;0;0;0;0;290;;294;;Основное место приготовления;1
DISH;259;72;Сладенький Бабл Ти стандарт;порц;3,043;0;0;0;0;290;;292;;Основное место приготовления;1
DISH;540;72;Тонус Бабл Ти стандарт;порц;2,058;0;0;0;0;290;;610;;Основное место приготовления;1
DISH;533;72;Тропический Бабал Ти стандарт;порц;3,05;0;0;0;0;290;;599;;Основное место приготовления;0
DISH;268;72;Тропический Бабл ти стандарт;порц;3,05;0;0;0;0;290;;305;;Основное место приготовления;1
DISH;269;72;Жара Бабл Ти стандарт;порц;3,043;0;0;0;0;290;;306;;Основное место приготовления;1
DISH;270;5;Бабл Ти Агент SHE (жасмин);порц;3,043;0;0;0;0;210;;307;;Основное место приготовления;0
DISH;274;5;Бабл Ти Стрелка (жасмин);порц;3,043;0;0;0;0;210;;312;;Основное место приготовления;0
DISH;524;76; Смузи шоколадный ;порц;2,354;0;0;0;0;290;;589;;Основное место приготовления;1
DISH;519;76;Смузи  Ананас- Кокос;порц;2,295;0;0;0;0;290;;584;;Основное место приготовления;1
DISH;518;76;Смузи  Ваниль-Клубника ;порц;2,299;0;0;0;0;290;;583;;Основное место приготовления;1
